bioguide_id,first_name,last_name,last_name_upper,full_name,state,party,type,term_start,term_end,state_rank
C000127,Maria,Cantwell,CANTWELL,Maria Cantwell,WA,Democrat,sen,2013-01-03,2019-01-03,junior
C000127,Maria,Cantwell,CANTWELL,Maria Cantwell,WA,Democrat,sen,2019-01-03,2025-01-03,junior
C000127,Maria,Cantwell,CANTWELL,Maria Cantwell,WA,Democrat,sen,2025-01-03,2031-01-03,junior
K000367,Amy,Klobuchar,KLOBUCHAR,Amy Klobuchar,MN,Democrat,sen,2013-01-03,2019-01-03,senior
K000367,Amy,Klobuchar,KLOBUCHAR,Amy Klobuchar,MN,Democrat,sen,2019-01-03,2025-01-03,senior
K000367,Amy,Klobuchar,KLOBUCHAR,Amy Klobuchar,MN,Democrat,sen,2025-01-03,2031-01-03,senior
S000033,Bernard,Sanders,SANDERS,Bernard Sanders,VT,Independent,sen,2013-01-03,2019-01-03,junior
S000033,Bernard,Sanders,SANDERS,Bernard Sanders,VT,Independent,sen,2019-01-03,2025-01-03,senior
S000033,Bernard,Sanders,SANDERS,Bernard Sanders,VT,Independent,sen,2025-01-03,2031-01-03,senior
W000802,Sheldon,Whitehouse,WHITEHOUSE,Sheldon Whitehouse,RI,Democrat,sen,2013-01-03,2019-01-03,junior
W000802,Sheldon,Whitehouse,WHITEHOUSE,Sheldon Whitehouse,RI,Democrat,sen,2019-01-03,2025-01-03,junior
W000802,Sheldon,Whitehouse,WHITEHOUSE,Sheldon Whitehouse,RI,Democrat,sen,2025-01-03,2031-01-03,junior
B001261,John,Barrasso,BARRASSO,John Barrasso,WY,Republican,sen,2013-01-03,2019-01-03,junior
B001261,John,Barrasso,BARRASSO,John Barrasso,WY,Republican,sen,2019-01-03,2025-01-03,senior
B001261,John,Barrasso,BARRASSO,John Barrasso,WY,Republican,sen,2025-01-03,2031-01-03,senior
W000437,Roger,Wicker,WICKER,Roger F. Wicker,MS,Republican,sen,2013-01-03,2019-01-03,senior
W000437,Roger,Wicker,WICKER,Roger F. Wicker,MS,Republican,sen,2019-01-03,2025-01-03,senior
W000437,Roger,Wicker,WICKER,Roger F. Wicker,MS,Republican,sen,2025-01-03,2031-01-03,senior
C001035,Susan,Collins,COLLINS,Susan M. Collins,ME,Republican,sen,2009-01-06,2015-01-03,senior
C001035,Susan,Collins,COLLINS,Susan M. Collins,ME,Republican,sen,2015-01-06,2021-01-03,senior
C001035,Susan,Collins,COLLINS,Susan M. Collins,ME,Republican,sen,2021-01-03,2027-01-03,senior
C001056,John,Cornyn,CORNYN,John Cornyn,TX,Republican,sen,2009-01-06,2015-01-03,senior
C001056,John,Cornyn,CORNYN,John Cornyn,TX,Republican,sen,2015-01-06,2021-01-03,senior
C001056,John,Cornyn,CORNYN,John Cornyn,TX,Republican,sen,2021-01-03,2027-01-03,senior
D000563,Richard,Durbin,DURBIN,Richard J. Durbin,IL,Democrat,sen,2009-01-06,2015-01-03,senior
D000563,Richard,Durbin,DURBIN,Richard J. Durbin,IL,Democrat,sen,2015-01-06,2021-01-03,senior
D000563,Richard,Durbin,DURBIN,Richard J. Durbin,IL,Democrat,sen,2021-01-03,2027-01-03,senior
