file_id,date_standard,chamber,speaker_full,speaker_last,party,title,is_speech,speech_category,speech_summary,immigration_terms,text_excerpt,text_length
CREC-2017-09-01-CREC-2017-09-01-pt1-PgE1151-4,2017-09-01,Unknown,Ms. PELOSI,PELOSI,D,HON. NANCY PELOSI,True,children,"From the Congressional Record Online through the Government Publishing Office HONORING THE 40TH ANNIVERSARY OF SERVICE BY REVEREND DR. AMOS C. BROWN ______ HON. NANCY PELOSI of california in the house of representatives Friday, September 1, 2017 Ms. PELOSI. Mr. Speaker, I rise with pride today to jo...",refugee,"
[Congressional Record Volume 163, Number 141 (Friday, September 1, 2017)]
[Extensions of Remarks]
[Page E1151]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




 HONORING THE 40TH ANNIVERSARY OF SERVICE BY REVEREND DR. AMOS C. BROWN

                                 ______
                                 

                           HON. NANCY PELOSI

                             of california

                    in the house of representatives

 ...",3685
CREC-2017-09-01-CREC-2017-09-01-pt1-PgE1152-3,2017-09-01,Unknown,Mr. CAPUANO,CAPUANO,,L. RAFAEL REIF AND THE DEFERRED ACTION FOR CHILDHOOD ARRIVALS PROGRAM,True,legal_status,"From the Congressional Record Online through the Government Publishing Office L. RAFAEL REIF AND THE DEFERRED ACTION FOR CHILDHOOD ARRIVALS PROGRAM ______ HON. MICHAEL E. CAPUANO of massachusetts in the house of representatives Friday, September 1, 2017 Mr. CAPUANO. Mr. Speaker, I rise today to shar...","immigration, immigrant, migrant, citizenship, deportation, undocumented, daca, dreamer, visa","
[Congressional Record Volume 163, Number 141 (Friday, September 1, 2017)]
[Extensions of Remarks]
[Pages E1152-E1153]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




 L. RAFAEL REIF AND THE DEFERRED ACTION FOR CHILDHOOD ARRIVALS PROGRAM

                                 ______
                                 

                        HON. MICHAEL E. CAPUANO

                            of massachusetts

                    in the house of represe...",5660
CREC-2017-09-01-CREC-2017-09-01-pt1-PgE1154-4,2017-09-01,Unknown,Ms. MATSUI,MATSUI,,REMEMBERING MR. MARIO GUTIERREZ,True,legal_status,"From the Congressional Record Online through the Government Publishing Office REMEMBERING MR. MARIO GUTIERREZ ______ HON. DORIS O. MATSUI of california in the house of representatives Friday, September 1, 2017 Ms. MATSUI. Mr. Speaker, it is with profound sadness that I rise to honor the life of Mr. ...","undocumented, mexico","
[Congressional Record Volume 163, Number 141 (Friday, September 1, 2017)]
[Extensions of Remarks]
[Page E1154]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




                    REMEMBERING MR. MARIO GUTIERREZ

                                 ______
                                 

                          HON. DORIS O. MATSUI

                             of california

                    in the house of representatives

                   ...",2139
CREC-2017-09-05-CREC-2017-09-05-pt1-PgH6638,2017-09-05,House,Mr. HULTGREN,HULTGREN,,BOB DOLE CONGRESSIONAL GOLD MEDAL ACT,True,children,"From the Congressional Record Online through the Government Publishing Office BOB DOLE CONGRESSIONAL GOLD MEDAL ACT Mr. HULTGREN. Mr. Speaker, I move to suspend the rules and pass the bill (S. 1616) to award the Congressional Gold Medal to Bob Dole, in recognition for his service to the nation as a ...",citizenship,"
[Congressional Record Volume 163, Number 142 (Tuesday, September 5, 2017)]
[House]
[Pages H6638-H6641]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




                 BOB DOLE CONGRESSIONAL GOLD MEDAL ACT

  Mr. HULTGREN. Mr. Speaker, I move to suspend the rules and pass the 
bill (S. 1616) to award the Congressional Gold Medal to Bob Dole, in 
recognition for his service to the nation as a soldier, legislator, and 
statesman.
  The Clerk read th...",27361
CREC-2017-09-05-CREC-2017-09-05-pt1-PgH6646-3,2017-09-05,House,Mr. KRISHNAMOORTHI,KRISHNAMOORTHI,,PROTECTING DREAMERS,True,children,"From the Congressional Record Online through the Government Publishing Office PROTECTING DREAMERS (Mr. KRISHNAMOORTHI asked and was given permission to address the House for 1 minute and to revise and extend his remarks.) Mr. KRISHNAMOORTHI. Mr. Speaker, today the President made clear that he refuse...","immigration, immigrant, migrant, daca, dreamer","
[Congressional Record Volume 163, Number 142 (Tuesday, September 5, 2017)]
[House]
[Page H6646]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




                          PROTECTING DREAMERS

  (Mr. KRISHNAMOORTHI asked and was given permission to address the 
House for 1 minute and to revise and extend his remarks.)
  Mr. KRISHNAMOORTHI. Mr. Speaker, today the President made clear that 
he refuses to protect DREAMers. It is now imperative that Con...",1391
CREC-2017-09-05-CREC-2017-09-05-pt1-PgH6646-5,2017-09-05,House,Mr. PAYNE,PAYNE,,TERMINATING DEFERRED ACTION FOR CHILDHOOD ARRIVALS,True,children,"From the Congressional Record Online through the Government Publishing Office TERMINATING DEFERRED ACTION FOR CHILDHOOD ARRIVALS (Mr. PAYNE asked and was given permission to address the House for 1 minute and to revise and extend his remarks.) Mr. PAYNE. Mr. Speaker, President Trump's decision to en...","daca, dreamer","
[Congressional Record Volume 163, Number 142 (Tuesday, September 5, 2017)]
[House]
[Page H6646]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




           TERMINATING DEFERRED ACTION FOR CHILDHOOD ARRIVALS

  (Mr. PAYNE asked and was given permission to address the House for 1 
minute and to revise and extend his remarks.)
  Mr. PAYNE. Mr. Speaker, President Trump's decision to end the DACA 
program is wrong. Today's announcement impacts over 22,0...",1224
CREC-2017-09-05-CREC-2017-09-05-pt1-PgH6646,2017-09-05,House,Mr. LANGEVIN,LANGEVIN,,ENDING THE DEFERRED ACTION FOR CHILDHOOD ARRIVALS PROGRAM,True,border_security,"From the Congressional Record Online through the Government Publishing Office ENDING THE DEFERRED ACTION FOR CHILDHOOD ARRIVALS PROGRAM (Mr. LANGEVIN asked and was given permission to address the House for 1 minute and to revise and extend his remarks.) Mr. LANGEVIN. Mr. Speaker, from its earliest d...","immigration, border, wall, daca","
[Congressional Record Volume 163, Number 142 (Tuesday, September 5, 2017)]
[House]
[Page H6646]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




       ENDING THE DEFERRED ACTION FOR CHILDHOOD ARRIVALS PROGRAM

  (Mr. LANGEVIN asked and was given permission to address the House for 
1 minute and to revise and extend his remarks.)
  Mr. LANGEVIN. Mr. Speaker, from its earliest days, the Trump 
administration has embraced disastrous immigration polic...",1383
CREC-2017-09-05-CREC-2017-09-05-pt1-PgH6647-3,2017-09-05,House,Mr. BLUMENAUER,BLUMENAUER,,FIRES IN OREGON,True,children,"From the Congressional Record Online through the Government Publishing Office FIRES IN OREGON (Mr. BLUMENAUER asked and was given permission to address the House for 1 minute and to revise and extend his remarks.) Mr. BLUMENAUER. Mr. Speaker, I support my friend from California in urging that this b...",daca,"
[Congressional Record Volume 163, Number 142 (Tuesday, September 5, 2017)]
[House]
[Page H6647]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




                            FIRES IN OREGON

  (Mr. BLUMENAUER asked and was given permission to address the House 
for 1 minute and to revise and extend his remarks.)
  Mr. BLUMENAUER. Mr. Speaker, I support my friend from California in 
urging that this body focus on this crisis in the West. With the 
ou...",1612
CREC-2017-09-05-CREC-2017-09-05-pt1-PgH6647-4,2017-09-05,House,DACA,DACA,,LET US VOTE ON DACA,True,children,"From the Congressional Record Online through the Government Publishing Office LET US VOTE ON DACA (Mrs. CAROLYN B. MALONEY of New York asked and was given permission to address the House for 1 minute.) Mrs. CAROLYN B. MALONEY of New York. Mr. Speaker, today the Trump administration announced that it...","daca, dreamer","
[Congressional Record Volume 163, Number 142 (Tuesday, September 5, 2017)]
[House]
[Page H6647]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




                          LET US VOTE ON DACA

  (Mrs. CAROLYN B. MALONEY of New York asked and was given permission 
to address the House for 1 minute.)
  Mrs. CAROLYN B. MALONEY of New York. Mr. Speaker, today the Trump 
administration announced that it intends to crush the hopes of 800,000 
DREAMers and...",1506
CREC-2017-09-05-CREC-2017-09-05-pt1-PgH6648-2,2017-09-05,House,Mr. ROHRABACHER,ROHRABACHER,,ISSUES OF THE DAY,True,children,"From the Congressional Record Online through the Government Publishing Office ISSUES OF THE DAY The SPEAKER pro tempore. Under the Speaker's announced policy of January 3, 2017, the gentleman from California (Mr. Rohrabacher) is recognized for 60 minutes as the designee of the majority leader. Mr. R...","immigration, immigrant, migrant, dreamer, mexico","
[Congressional Record Volume 163, Number 142 (Tuesday, September 5, 2017)]
[House]
[Pages H6648-H6652]
From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]




                           ISSUES OF THE DAY

  The SPEAKER pro tempore. Under the Speaker's announced policy of 
January 3, 2017, the gentleman from California (Mr. Rohrabacher) is 
recognized for 60 minutes as the designee of the majority leader.
  Mr. ROHRABACHER. Mr. Speaker, before I get into a...",35351
