file,date,terms
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-01-CREC-2017-09-01-pt1-PgD909-6.html,2017,visa
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-01-CREC-2017-09-01-pt1-PgE1151-4.html,2017,refugee
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-01-CREC-2017-09-01-pt1-PgE1152-3.html,2017,"immigration, immigrant, migrant, citizenship, deportation, undocumented, daca, dreamer, visa"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-01-CREC-2017-09-01-pt1-PgE1154-4.html,2017,"undocumented, mexico"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-01-CREC-2017-09-01-pt1-PgH6632-6.html,2017,mexico
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgH6638.html,2017,citizenship
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgH6645-3.html,2017,"immigrant, migrant, daca, dreamer"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgH6645-4.html,2017,daca
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgH6646-3.html,2017,"immigration, immigrant, migrant, daca, dreamer"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgH6646-5.html,2017,"daca, dreamer"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgH6646.html,2017,"immigration, border, wall, daca"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgH6647-3.html,2017,daca
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgH6647-4.html,2017,"daca, dreamer"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgH6648-2.html,2017,"immigration, immigrant, migrant, dreamer, mexico"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgH6648.html,2017,"immigrant, migrant, daca, dreamer"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgH6654-12.html,2017,mexico
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgS4917-5.html,2017,"immigration, border, border security"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgS4918-2.html,2017,"daca, dreamer"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgS4919-4.html,2017,"immigration, immigrant, migrant, border, daca, dreamer, border security, mexico, ice"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgS4920.html,2017,"immigration, deportation, undocumented, daca, dreamer, mexico"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgS4923-2.html,2017,unauthorized
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgS4928-2.html,2017,citizenship
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgS4928-3.html,2017,ice
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgS4929-5.html,2017,"immigration, border, border security"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgS4929-7.html,2017,"immigration, immigrant, migrant, mexico, ice"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgS4939-3.html,2017,mexico
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgS4941-2.html,2017,"immigration, immigrant, migrant, deportation, daca, visa, mexico, ice"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgS4941.html,2017,"immigration, immigrant, migrant, deportation, daca, visa, mexico, ice"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgS4942-2.html,2017,"immigration, immigrant, migrant, visa, mexico"
