,Democratic,Republican,Total,Dem_Proportion,Rep_Proportion,Chi2_Statistic,P_Value,Statistically_Significant
immigration,686,2525,3211,0.213640610401744,0.786359389598256,7.042667735476384,0.007959039476567278,True
immigrant,479,1037,1516,0.3159630606860158,0.6840369393139841,2.668612649355037,0.10234520297947582,False
migrant,536,1118,1654,0.32406287787182586,0.6759371221281741,2.3662840461027175,0.12398186075761161,False
citizenship,184,278,462,0.39826839826839827,0.6017316017316018,0.0,1.0,False
deportation,164,152,316,0.5189873417721519,0.4810126582278481,2.7551172544716005,0.0969437089234974,False
border,1278,2669,3947,0.3237902204205726,0.6762097795794274,7.121045937723888,0.0076184247501316586,True
asylum,89,231,320,0.278125,0.721875,0.0,1.0,False
refugee,323,163,486,0.6646090534979424,0.33539094650205764,7.673913670196767,0.005602481129320953,True
undocumented,65,184,249,0.26104417670682734,0.7389558232931727,0.3915402571899787,0.5314908864243125,False
illegal alien,6,19,25,0.24,0.76,1.9432489535606055,0.1633162016180913,False
unauthorized,60,179,239,0.2510460251046025,0.7489539748953975,1.613360359601288,0.20402008170256994,False
wall,494,441,935,0.5283422459893048,0.4716577540106952,0.2750799293094373,0.5999442900722269,False
daca,668,1093,1761,0.3793299261783078,0.6206700738216923,0.0267718392525648,0.8700294935835182,False
dreamer,512,795,1307,0.39173680183626625,0.6082631981637338,9.533690818912367,0.002017340225021321,True
visa,162,460,622,0.2604501607717042,0.7395498392282959,0.9770082804811038,0.32293853130946876,False
detention,145,300,445,0.3258426966292135,0.6741573033707865,1.9811183766933065,0.15927263768565242,False
family separation,9,8,17,0.5294117647058824,0.47058823529411764,0.0,1.0,False
child detention,0,0,0,,,,,False
border security,375,543,918,0.4084967320261438,0.5915032679738562,5.414605769989813,0.019968962083871698,True
border crisis,0,2,2,0.0,1.0,,,False
path to citizenship,38,24,62,0.6129032258064516,0.3870967741935484,2.422186643655447,0.11962784112924936,False
amnesty,45,20,65,0.6923076923076923,0.3076923076923077,0.0005237833516025279,0.9817409576780202,False
caravan,9,5,14,0.6428571428571429,0.35714285714285715,0.3258399923491068,0.5681189802016475,False
mexico,476,586,1062,0.448210922787194,0.551789077212806,0.06000019816494912,0.8064956272999027,False
ice,110,222,332,0.3313253012048193,0.6686746987951807,4.668733276941943,0.030716575116350706,True
cbp,104,521,625,0.1664,0.8336,10.393804942857763,0.0012643880548061192,True
